iteration,1,2,3
1,14090,38794,14180
2,20930,37048,21125
3,21603,36549,21771
4,21639,36519,21818
5,21644,36515,21824
6,21649,36514,21827
7,21651,36513,21828
8,21651,36513,21828
9,21652,36511,21829
10,21653,36511,21830
11,21653,36511,21830
12,21654,36511,21834
13,21654,36511,21834
14,21654,36512,21834
15,21654,36512,21834
16,21654,36512,21834
17,21654,36512,21834
18,21654,36512,21834
19,21654,36512,21834
20,21654,36512,21834
21,21654,36512,21834
22,21654,36512,21834
23,21654,36512,21834
24,21654,36512,21834
25,21654,36512,21834
26,21654,36512,21834
27,21654,36512,21834
28,21654,36512,21834
29,21654,36512,21834
30,21654,36512,21834
31,21654,36512,21834
32,21654,36512,21834
33,21654,36512,21834
34,21654,36512,21834
35,21654,36512,21834
36,21654,36512,21834
37,21654,36512,21834
38,21654,36512,21834
39,21654,36512,21834
40,21654,36512,21834
41,21654,36512,21834
42,21654,36512,21834
43,21654,36512,21834
44,21654,36512,21834
45,21654,36512,21834
46,21654,36512,21834
47,21654,36512,21834
48,21654,36512,21834
49,21654,36512,21834
50,21654,36512,21834
51,21654,36512,21834
52,21654,36512,21834
53,21654,36512,21834
54,21654,36512,21834
55,21654,36512,21834
56,21654,36512,21834
57,21654,36512,21834
58,21654,36512,21834
59,21654,36512,21834
60,21654,36512,21834
61,21654,36512,21834
62,21654,36512,21834
63,21654,36512,21834
64,21654,36512,21834
65,21654,36512,21834
66,21654,36512,21834
67,21654,36512,21834
68,21649,36512,21827
69,21445,36516,21633
70,21504,36520,21686
71,21562,36516,21751
72,21605,36506,21792
73,21627,36495,21817
74,21643,36484,21840
75,21649,36483,21848
76,21654,36483,21850
77,21654,36482,21855
78,21654,36481,21855
79,21656,36479,21858
80,21659,36478,21860
81,21659,36478,21860
82,21659,36478,21860
83,21661,36478,21860
84,21647,36478,21842
85,21507,36482,21684
86,21566,36483,21770
87,21597,36477,21810
88,21621,36466,21836
89,21639,36460,21859
90,21648,36456,21867
91,21652,36457,21872
92,21653,36455,21879
93,21655,36451,21882
94,21659,36449,21886
95,21660,36449,21889
96,21661,36449,21889
97,21641,36449,21880
98,21472,36453,21767
99,21492,36456,21769
100,20441,36459,20695
101,20790,36490,20868
102,20983,36490,21123
103,21282,36466,21425
104,21307,36435,21405
105,21386,36408,21414
106,21210,36385,21177
107,21447,36337,21404
108,21408,36289,21347
109,21411,36242,21311
110,21556,36188,21431
111,21719,36122,21595
112,21666,36070,21453
113,21740,36018,21577
114,21822,35977,21642
115,21836,35941,21727
116,21573,35933,21465
117,21851,35897,21770
118,21749,35875,21680
119,21860,35856,21829
120,21886,35827,21791
121,21972,35813,21880
122,22017,35797,21969
123,22044,35798,22004
124,22061,35796,22032
125,22068,35789,22054
126,22082,35782,22071
127,22086,35779,22088
128,22089,35778,22100
129,22071,35779,22101
130,22072,35779,22111
131,22064,35779,22118
132,22061,35781,22114
133,22063,35781,22116
134,22061,35783,22104
135,22058,35784,22122
136,22057,35785,22118
137,22060,35786,22127
138,22060,35783,22119
139,22062,35784,22112
140,22056,35786,22101
141,22053,35788,22096
142,22042,35793,22101
143,22047,35796,22102
144,22047,35797,22100
145,22034,35797,22074
146,22017,35803,22048
147,22024,35805,22065
148,22046,35803,22093
149,22049,35801,22101
150,22048,35802,22116
151,22052,35802,22112
152,22052,35801,22115
153,22051,35803,22114
154,22051,35803,22117
155,22052,35804,22117
156,22056,35802,22119
157,22056,35804,22117
158,22057,35805,22113
159,22055,35804,22120
160,22059,35805,22119
161,22059,35806,22121
162,22058,35807,22117
163,22057,35809,22122
164,22048,35809,22117
165,22049,35810,22107
166,22048,35811,22114
167,22046,35811,22116
168,22032,35813,22093
169,22015,35814,22080
170,22019,35813,22088
171,22029,35812,22096
172,22033,35813,22102
173,22041,35810,22113
174,22044,35810,22116
175,22045,35811,22114
176,22049,35810,22113
177,22049,35811,22116
178,22052,35813,22111
179,22054,35812,22115
180,22054,35813,22112
181,22057,35814,22110
182,22059,35814,22111
183,22057,35815,22109
184,22057,35815,22107
185,22059,35816,22104
186,22055,35816,22103
187,22041,35818,22097
188,22036,35818,22081
189,22028,35817,22077
190,22005,35818,22063
191,22000,35817,22049
192,21996,35816,22061
193,22002,35812,22065
194,22017,35809,22100
195,22035,35810,22108
196,22035,35808,22110
197,22029,35808,22107
198,22032,35806,22115
199,22009,35803,22095
200,21984,35807,22065
201,21933,35807,22003
202,21854,35813,21916
203,21777,35820,21846
204,21793,35828,21815
205,21804,35834,21810
206,21813,35832,21868
