iteration,1,2,3
1,19030,18838,30265
2,18111,17897,43876
3,18016,17824,44106
4,18016,17824,44135
5,18016,17823,44140
6,18017,17824,44140
7,18018,17824,44140
8,18019,17825,44140
9,18020,17826,44140
10,18020,17827,44140
11,18021,17828,44140
12,18021,17828,44140
13,18022,17828,44140
14,18022,17828,44140
15,18022,17828,44140
16,18022,17829,44140
17,18023,17829,44140
18,18023,17830,44140
19,18023,17831,44140
20,18023,17831,44140
21,18023,17831,44140
22,18023,17832,44140
23,18024,17832,44140
24,18024,17832,44140
25,18024,17832,44140
26,18024,17832,44140
27,18024,17832,44140
28,18025,17832,44140
29,18025,17832,44140
30,18025,17832,44140
31,18025,17832,44140
32,18025,17832,44140
33,18025,17832,44140
34,18025,17832,44140
35,18025,17832,44140
36,18025,17833,44140
37,18025,17833,44140
38,18025,17833,44140
39,18025,17833,44140
40,18026,17833,44140
41,18026,17833,44140
42,18026,17833,44140
43,18026,17833,44140
44,18026,17833,44140
45,18026,17833,44140
46,18026,17833,44140
47,18026,17833,44140
48,18026,17833,44140
49,18026,17833,44140
50,18027,17833,44140
51,18027,17833,44140
52,18027,17833,44140
53,18027,17833,44140
54,18027,17833,44140
55,18027,17833,44140
56,18027,17833,44140
57,18027,17833,44140
58,18027,17833,44140
59,18027,17833,44140
60,18027,17833,44140
61,18027,17833,44140
62,18027,17833,44140
63,18027,17833,44140
64,18027,17833,44140
65,18027,17833,44140
66,18027,17833,44140
67,18027,17833,44140
68,18027,17833,44117
69,18015,17832,43655
70,17778,17633,44028
71,17674,17507,44476
72,17629,17469,44704
73,17607,17450,44804
74,17607,17444,44841
75,17604,17437,44870
76,17602,17436,44887
77,17606,17439,44891
78,17606,17441,44894
79,17608,17441,44895
80,17609,17444,44896
81,17611,17447,44897
82,17612,17451,44897
83,17613,17453,44897
84,17615,17454,44878
85,17611,17442,44522
86,17440,17275,44922
87,17360,17198,45204
88,17334,17165,45355
89,17324,17152,45423
90,17325,17151,45443
91,17325,17153,45456
92,17330,17158,45462
93,17331,17161,45462
94,17333,17163,45462
95,17336,17163,45462
96,17338,17165,45462
97,17341,17165,45438
98,17338,17158,45123
99,17188,16999,45303
100,17092,16868,42861
101,16236,16010,44159
102,15596,15389,46902
103,15094,14887,48662
104,14762,14542,49540
105,14452,14230,50154
106,14159,13926,50292
107,13604,13438,51855
108,13321,13173,52174
109,12905,12756,52686
110,12386,12280,54064
111,12013,11920,55212
