iteration,1,2,3
1,19223,29047,19311
2,18093,43281,18122
3,17814,44190,17828
4,17803,44322,17815
5,17803,44330,17817
6,17807,44330,17818
7,17805,44336,17820
8,17806,44336,17820
9,17807,44336,17821
10,17808,44336,17822
11,17809,44336,17824
12,17811,44336,17826
13,17813,44336,17826
14,17816,44336,17827
15,17818,44336,17828
16,17819,44336,17829
17,17819,44336,17830
18,17819,44336,17831
19,17820,44336,17832
20,17820,44336,17832
21,17820,44336,17833
22,17820,44336,17834
23,17820,44336,17834
24,17820,44336,17834
25,17821,44336,17834
26,17821,44336,17834
27,17822,44336,17834
28,17822,44336,17834
29,17823,44336,17834
30,17823,44336,17836
31,17823,44336,17836
32,17823,44336,17836
33,17823,44336,17836
34,17823,44336,17836
35,17824,44336,17836
36,17825,44336,17836
37,17825,44336,17836
38,17825,44336,17836
39,17825,44336,17836
40,17825,44336,17836
41,17825,44336,17836
42,17825,44336,17836
43,17825,44336,17836
44,17825,44336,17836
45,17825,44336,17836
46,17825,44336,17836
47,17825,44336,17836
48,17825,44336,17836
49,17825,44336,17837
50,17825,44336,17837
51,17825,44336,17837
52,17825,44336,17837
53,17825,44336,17837
54,17825,44336,17837
55,17825,44336,17837
56,17825,44336,17837
57,17825,44336,17837
58,17825,44336,17837
59,17825,44336,17837
60,17826,44336,17837
61,17826,44336,17837
62,17826,44336,17837
63,17826,44336,17837
64,17826,44336,17838
65,17826,44336,17838
66,17826,44336,17838
67,17826,44336,17838
68,17826,44297,17838
69,17817,43928,17826
70,17632,44255,17630
71,17523,44636,17547
72,17473,44862,17490
73,17458,44947,17475
74,17441,45000,17466
75,17437,45020,17464
76,17437,45034,17465
77,17435,45050,17466
78,17437,45054,17465
79,17437,45055,17467
80,17439,45055,17467
81,17442,45055,17469
82,17443,45055,17472
83,17446,45055,17473
84,17447,45039,17475
85,17441,44713,17475
86,17287,45033,17317
87,17218,45316,17241
88,17182,45471,17205
89,17170,45545,17189
90,17166,45585,17184
91,17163,45595,17184
92,17162,45605,17184
93,17160,45610,17184
94,17159,45612,17185
95,17161,45612,17187
96,17161,45612,17188
97,17164,45589,17189
98,17160,45266,17184
99,17021,45407,17039
100,16864,43344,16882
101,16009,44330,16006
102,15402,46855,15357
103,14836,49025,14833
104,14525,49652,14536
105,14144,50390,14212
106,13836,50574,13916
107,13356,52003,13398
108,13028,52481,13098
109,12571,53214,12660
110,12089,54491,12186
111,11717,55500,11855
112,11477,55555,11635
113,11075,56555,11221
114,10783,57262,10968
115,10552,57812,10733
116,10345,57369,10513
117,9769,59102,9935
118,9507,59571,9677
119,9077,60601,9318
120,8824,61245,9086
121,8591,61830,8859
122,8426,62385,8680
123,8323,62723,8605
124,8261,62854,8569
125,8242,62951,8554
126,8235,63003,8545
127,8228,63033,8538
128,8223,63056,8532
129,8220,63054,8522
130,8216,63086,8514
131,8214,63089,8514
132,8216,63075,8515
133,8205,63096,8515
134,8201,63106,8510
135,8188,63120,8506
136,8183,63138,8502
137,8187,63141,8500
138,8186,63141,8502
139,8187,63140,8504
140,8184,63127,8504
141,8182,63127,8500
142,8182,63140,8500
143,8182,63136,8492
144,8180,63136,8492
145,8176,63126,8488
146,8171,63082,8479
147,8170,63050,8478
148,8167,63073,8476
149,8167,63092,8470
150,8166,63093,8475
151,8170,63088,8477
152,8170,63095,8479
153,8172,63095,8483
154,8175,63095,8487
155,8177,63091,8488
156,8182,63091,8490
157,8185,63085,8494
158,8184,63092,8498
159,8184,63093,8499
160,8187,63101,8503
161,8191,63100,8508
162,8193,63096,8512
163,8192,63098,8514
164,8194,63101,8515
165,8196,63099,8518
166,8197,63097,8521
167,8200,63094,8522
168,8199,63074,8525
169,8201,63009,8526
170,8198,62999,8524
171,8201,62994,8527
172,8197,62996,8528
173,8199,62997,8535
174,8198,62998,8537
175,8198,63001,8538
176,8202,62995,8539
177,8202,62993,8548
178,8204,62996,8552
179,8205,62997,8556
180,8207,62988,8560
181,8209,62962,8557
182,8208,62959,8562
183,8212,62959,8562
184,8217,62956,8560
185,8216,62941,8564
186,8222,62926,8571
187,8224,62917,8573
188,8225,62913,8573
189,8232,62903,8575
190,8236,62893,8579
191,8237,62845,8581
192,8231,62668,8577
193,8210,62600,8568
194,8192,62613,8544
195,8178,62657,8542
196,8179,62663,8545
197,8187,62661,8545
198,8188,62651,8547
199,8189,62617,8552
200,8188,62436,8557
201,8173,62195,8551
202,8127,61961,8507
203,8087,61696,8442
204,8037,61467,8361
205,7965,61264,8308
206,7884,61047,8226
207,7817,60766,8150
208,7715,60286,8081
209,7560,59905,7962
210,7386,59872,7771
211,7177,60164,7612
212,7001,60328,7440
213,6860,60381,7268
214,6678,60274,7118
215,6502,60211,6925
216,6325,60074,6724
217,6128,59968,6511
218,5910,59545,6273
219,5659,58803,6024
220,5364,58382,5719
221,5049,58453,5373
222,4744,58944,5025
223,4451,59586,4721
224,4210,59947,4503
225,3953,60170,4260
226,3780,60300,4058
227,3619,60485,3864
228,3456,60594,3664
229,3298,60745,3490
230,3169,60923,3357
231,3067,61064,3198
232,2974,61162,3092
233,2884,61148,3009
234,2798,61104,2935
235,2746,61019,2842
236,2672,61050,2785
237,2632,61120,2722
238,2610,61238,2680
239,2577,61038,2654
240,2542,61039,2617
241,2516,61067,2590
242,2521,61155,2576
243,2535,61222,2573
244,2571,61272,2591
245,2598,61338,2625
246,2633,61377,2659
247,2672,61392,2716
248,2733,61421,2756
249,2786,61414,2803
250,2839,61377,2864
251,2890,61352,2921
252,2948,61307,2982
253,3007,61277,3039
254,3054,61262,3092
255,3105,61257,3135
256,3158,61269,3180
257,3204,61289,3237
258,3253,61314,3290
