iteration,1,2,3
1,18037,8630,39118
2,25868,11646,37048
3,26544,13159,35097
4,26685,14888,32979
5,26771,16752,31119
6,25873,18716,29701
7,24464,20603,28423
8,22401,22651,27234
9,20343,24573,26149
10,18147,26485,25251
11,15824,28250,24566
12,13367,29928,24063
13,10800,31434,23813
14,8457,32703,23666
15,6497,33750,23675
16,4994,34506,23794
17,3694,35113,23989
18,2625,35585,24350
19,1766,35966,24736
20,1157,36216,25174
21,712,36394,25700
22,443,36504,26230
23,258,36569,26793
24,149,36615,27384
25,97,36641,27908
26,55,36646,28431
27,28,36654,29012
28,14,36659,29533
29,10,36662,29987
30,4,36670,30497
31,2,36667,31005
32,1,36669,31460
33,1,36670,31888
34,1,36670,32303
35,2,36671,32741
36,3,36671,33135
37,1,36671,33535
38,0,36673,33923
39,0,36674,34297
40,0,36674,34621
41,0,36672,34933
42,0,36671,35254
43,0,36673,35552
44,0,36671,35853
45,0,36673,36133
46,1,36674,36365
47,1,36673,36610
48,1,36673,36805
49,0,36672,37032
50,0,36672,37226
51,0,36672,37404
52,0,36671,37579
53,0,36672,37755
54,0,36673,37937
55,0,36674,38054
56,0,36677,38190
57,0,36673,38313
58,0,36674,38425
59,0,36673,38527
60,0,36676,38624
61,0,36673,38715
62,0,36673,38795
63,0,36673,38899
64,0,36672,38961
65,0,36672,39024
66,0,36669,39092
67,0,36668,39167
68,0,36667,39231
69,0,36664,39285
70,0,36666,39340
71,0,36667,39380
72,0,36664,39434
73,0,36667,39466
74,0,36663,39505
75,0,36667,39538
76,0,36666,39571
77,0,36666,39596
78,0,36666,39623
79,0,36664,39646
80,0,36665,39680
81,0,36663,39701
82,0,36664,39715
83,1,36660,39729
84,0,36658,39747
85,0,36658,39760
86,0,36660,39783
87,0,36659,39793
88,0,36655,39805
89,0,36650,39817
90,0,36646,39835
91,0,36644,39848
92,0,36637,39853
93,0,36619,39868
94,0,36605,39878
95,1,36589,39889
96,0,36556,39897
97,0,36508,39903
98,0,36436,39910
99,0,36309,39916
100,0,36160,39919
101,0,35937,39924
102,0,35640,39929
103,1,35242,39932
104,0,34712,39936
105,0,33992,39939
106,0,33244,39944
107,0,32286,39949
108,0,31124,39952
109,0,29863,39953
110,0,28393,39956
111,0,26879,39959
112,1,25158,39959
113,1,23437,39959
114,0,21653,39962
115,1,19757,39963
116,1,17757,39966
117,2,15950,39968
118,2,14041,39969
119,4,12352,39965
120,5,10607,39962
121,5,8941,39961
122,6,7419,39958
123,6,6103,39962
124,7,4689,39959
125,8,3594,39952
126,11,2671,39932
127,11,2018,39920
128,11,1494,39911
129,11,1026,39905
130,15,785,39891
131,20,593,39882
132,26,464,39859
133,50,358,39840
134,52,302,39829
135,70,250,39815
136,91,222,39790
137,124,192,39759
138,173,168,39730
139,230,150,39700
140,304,138,39668
141,372,124,39639
142,443,114,39604
143,524,100,39560
144,648,91,39495
145,770,82,39443
146,906,79,39372
147,1086,78,39311
148,1287,76,39242
149,1501,75,39156
150,1733,74,39085
151,1986,75,38984
152,2335,79,38851
153,2746,81,38725
154,3150,84,38592
155,3612,91,38449
156,4149,95,38275
157,4594,98,38111
158,5215,103,37895
159,5810,110,37688
160,6562,113,37416
161,7279,118,37227
162,7898,125,36995
163,8634,128,36716
164,9655,136,36400
165,10501,137,36125
166,11531,141,35833
167,12530,151,35508
168,13697,160,35123
169,14907,169,34705
170,16244,183,34332
171,17380,198,33947
172,18671,209,33538
173,19991,224,33090
174,21616,244,32599
175,22961,263,32213
176,24442,288,31750
177,25982,310,31248
178,27598,338,30742
179,29252,355,30235
180,30942,377,29705
181,32668,407,29192
182,34314,431,28679
183,35925,456,28185
184,37684,477,27663
185,39213,508,27195
186,40630,540,26712
187,42113,569,26272
188,43548,614,25794
189,44918,640,25388
190,46239,680,24936
191,47506,714,24558
192,48520,762,24214
193,49569,806,23887
194,50484,852,23577
195,51339,921,23264
196,52268,969,22955
197,53073,1022,22690
198,53724,1104,22453
199,54116,1172,22303
200,54342,1248,22157
201,54584,1326,22049
202,54619,1405,21962
203,54567,1491,21915
204,54469,1588,21864
205,54399,1695,21784
206,54260,1791,21757
207,54036,1892,21723
208,53948,2004,21642
209,53805,2109,21603
210,53624,2238,21548
211,53449,2343,21515
212,53248,2448,21456
213,53038,2568,21444
214,52888,2679,21401
215,52729,2805,21383
216,52508,2921,21354
217,52271,3026,21308
218,52047,3172,21220
219,51845,3295,21171
220,51579,3442,21116
221,51338,3586,21036
222,51150,3749,21002
223,50867,3894,20964
224,50525,4067,20908
225,50339,4223,20850
226,50085,4401,20805
227,49806,4564,20738
228,49532,4740,20698
229,49209,4914,20645
230,48867,5088,20613
231,48495,5281,20593
232,48168,5467,20539
233,47843,5638,20495
234,47523,5824,20437
235,47312,5997,20351
236,47001,6194,20325
237,46591,6389,20307
238,46188,6591,20268
239,45849,6811,20213
240,45435,6997,20176
241,45053,7189,20155
242,44630,7403,20130
243,44203,7608,20090
244,43837,7809,20042
245,43533,8004,19980
246,43155,8229,19958
247,42724,8447,19925
248,42239,8669,19914
249,41824,8883,19862
250,41391,9106,19818
251,41027,9326,19756
252,40637,9589,19728
253,40232,9822,19686
254,39730,10059,19661
255,39223,10309,19619
256,38740,10558,19582
257,38184,10791,19567
258,37647,11051,19519
259,37173,11302,19427
260,36771,11564,19349
261,36318,11816,19296
262,35816,12061,19285
263,35366,12297,19256
264,34892,12543,19214
265,34359,12792,19136
266,33836,13044,19110
267,33335,13299,19038
268,32838,13527,18926
269,32429,13776,18876
270,31874,14035,18836
271,31341,14277,18778
272,30970,14503,18724
273,30511,14743,18688
274,29969,14989,18630
275,29473,15226,18559
276,28912,15470,18562
277,28310,15735,18526
278,27777,15946,18495
279,27195,16207,18415
280,26755,16461,18326
281,26281,16678,18282
282,25762,16929,18193
283,25134,17168,18196
284,24770,17400,18058
285,24409,17619,18031
286,23859,17861,18004
287,23405,18101,17941
288,22961,18350,17906
289,22450,18594,17867
290,22007,18793,17838
291,21525,19050,17802
292,21047,19261,17850
293,20650,19474,17848
294,20222,19699,17815
295,19829,19924,17815
296,19408,20125,17856
297,18915,20349,17872
298,18504,20559,17879
299,18054,20799,17943
300,17663,20990,18059
301,17251,21166,18115
302,16773,21367,18235
303,16297,21546,18358
304,15842,21718,18500
305,15406,21860,18658
306,14977,22023,18771
307,14552,22179,18912
308,14153,22293,19060
309,13712,22441,19241
310,13201,22592,19445
311,12665,22703,19647
312,12205,22809,19859
313,11662,22911,20049
314,11227,22998,20249
315,10764,23132,20453
316,10308,23199,20695
317,9876,23276,20881
318,9418,23352,21109
319,9039,23381,21287
320,8486,23473,21529
321,8102,23520,21735
322,7697,23520,21957
323,7268,23548,22207
324,6840,23567,22449
325,6407,23588,22639
326,6009,23595,22851
327,5696,23548,23049
328,5307,23535,23247
329,4951,23502,23485
330,4568,23469,23746
331,4227,23411,23961
332,3950,23370,24167
333,3664,23309,24400
334,3445,23181,24603
335,3159,23119,24852
336,2897,23045,25105
337,2690,22942,25330
338,2428,22847,25593
339,2238,22695,25800
340,2090,22555,26031
341,1961,22414,26245
342,1763,22271,26520
343,1645,22132,26707
344,1491,21975,26929
345,1389,21792,27141
346,1252,21584,27321
347,1148,21410,27550
348,1022,21269,27767
349,948,21057,27971
350,858,20823,28190
351,787,20622,28389
352,725,20371,28631
353,646,20150,28855
354,595,19916,29053
355,552,19674,29260
356,518,19433,29477
357,464,19196,29674
358,438,18940,29836
359,390,18685,30021
360,350,18417,30236
361,314,18150,30447
362,276,17909,30648
363,249,17642,30871
364,227,17347,31028
365,187,17037,31203
366,168,16769,31396
367,162,16492,31550
368,145,16171,31742
369,114,15882,31888
370,104,15590,32045
371,95,15276,32202
372,90,14992,32350
373,78,14698,32513
374,64,14364,32689
375,56,14055,32853
376,55,13762,33027
