iteration,1,2,3,4,5
1,12864,12852,18424,9246,12905
2,11682,11661,26544,14337,11749
3,10842,10787,25819,17624,10845
4,9982,9903,24180,21276,9948
5,9081,9053,22101,25729,9039
6,8301,8298,19340,30367,8261
7,7651,7669,16181,34590,7586
8,6931,6986,12774,39219,6927
9,6364,6448,9558,43530,6339
10,5909,5983,6671,47263,5888
11,5542,5664,4341,50315,5553
12,5312,5455,2846,52433,5351
13,5164,5313,1695,54190,5160
14,5110,5217,1032,55247,5104
15,5075,5188,602,56005,5061
16,5095,5208,370,56462,5058
17,5111,5236,209,56780,5082
18,5147,5276,136,56973,5135
19,5194,5324,80,57094,5202
20,5249,5392,52,57179,5269
21,5312,5447,37,57215,5334
22,5367,5518,30,57229,5399
23,5441,5587,22,57243,5471
24,5498,5658,15,57262,5536
25,5560,5723,7,57278,5599
26,5614,5786,3,57297,5666
27,5668,5838,4,57303,5722
28,5723,5888,1,57307,5782
29,5774,5932,0,57308,5833
30,5839,5985,0,57308,5878
31,5898,6048,0,57310,5933
32,5943,6104,0,57310,5981
33,5982,6153,0,57310,6029
34,6024,6214,0,57310,6082
35,6088,6274,0,57310,6134
36,6115,6314,0,57310,6172
37,6155,6367,0,57310,6219
38,6197,6425,0,57310,6263
39,6231,6471,0,57310,6306
40,6263,6515,1,57310,6352
41,6308,6560,1,57310,6399
42,6352,6610,0,57310,6447
43,6387,6648,0,57310,6478
44,6420,6690,0,57310,6514
45,6456,6731,0,57310,6553
46,6485,6768,0,57310,6578
47,6512,6804,0,57310,6602
48,6545,6841,0,57310,6634
49,6577,6874,0,57310,6666
50,6605,6894,0,57310,6697
51,6625,6918,0,57310,6722
52,6665,6946,0,57310,6749
53,6709,6982,0,57310,6774
54,6734,7009,0,57310,6796
55,6757,7038,0,57310,6825
56,6787,7061,0,57310,6853
57,6808,7083,0,57310,6873
58,6842,7102,0,57310,6898
59,6864,7132,0,57310,6917
60,6885,7154,0,57310,6940
61,6898,7175,0,57310,6952
62,6921,7185,0,57310,6979
63,6935,7212,0,57310,7000
64,6951,7223,0,57310,7012
65,6964,7242,0,57310,7035
66,6983,7256,0,57310,7047
67,6993,7273,0,57310,7061
68,7009,7297,0,57308,7080
69,7024,7311,0,57305,7094
70,7037,7322,0,57308,7104
71,7052,7335,0,57310,7119
72,7061,7345,0,57310,7131
73,7076,7361,0,57310,7145
74,7085,7377,0,57310,7160
75,7107,7391,0,57310,7172
76,7121,7400,0,57310,7182
77,7137,7408,0,57310,7194
78,7154,7415,0,57310,7204
79,7161,7431,0,57310,7215
80,7170,7437,0,57310,7231
81,7176,7446,0,57310,7246
82,7185,7452,0,57310,7263
83,7199,7460,0,57310,7270
84,7203,7473,0,57310,7280
85,7215,7481,0,57309,7287
86,7224,7490,0,57309,7291
87,7235,7499,0,57309,7298
88,7243,7508,0,57309,7308
89,7256,7514,0,57309,7315
90,7262,7519,0,57309,7321
91,7266,7523,0,57309,7325
92,7272,7528,0,57310,7329
93,7274,7531,0,57308,7333
94,7278,7535,0,57307,7338
95,7282,7543,0,57304,7341
96,7289,7546,0,57300,7345
97,7289,7551,0,57302,7349
