iteration,1,2,3
1,38648,14479,14546
2,37096,21324,21273
3,36874,21588,21483
4,36865,21615,21504
5,36858,21618,21512
6,36856,21620,21514
7,36855,21622,21514
8,36854,21625,21515
9,36853,21627,21515
10,36851,21630,21518
11,36851,21631,21518
12,36851,21631,21518
13,36851,21631,21518
14,36851,21631,21518
15,36851,21631,21518
16,36851,21631,21518
17,36851,21631,21518
18,36851,21631,21518
19,36851,21631,21518
20,36851,21631,21518
21,36851,21631,21518
22,36851,21631,21518
23,36851,21631,21518
24,36851,21631,21518
25,36851,21631,21518
26,36851,21631,21518
27,36851,21631,21518
28,36851,21631,21518
29,36851,21631,21518
30,36851,21631,21518
31,36851,21631,21518
32,36851,21631,21518
33,36851,21631,21518
34,36851,21631,21518
35,36851,21631,21518
36,36851,21631,21518
37,36851,21631,21518
38,36851,21631,21518
39,36851,21631,21518
40,36851,21631,21518
41,36851,21631,21518
42,36851,21631,21518
43,36851,21631,21518
44,36851,21631,21518
45,36851,21631,21518
46,36851,21631,21518
47,36851,21631,21518
48,36851,21631,21518
49,36851,21631,21518
50,36851,21631,21518
51,36851,21631,21518
52,36851,21631,21518
53,36851,21631,21518
54,36851,21631,21518
55,36851,21631,21518
56,36851,21631,21518
57,36851,21631,21518
58,36851,21631,21518
59,36851,21631,21518
60,36851,21631,21518
61,36851,21631,21518
62,36851,21631,21518
63,36851,21631,21518
64,36851,21631,21518
65,36851,21631,21518
66,36851,21631,21518
67,36851,21631,21518
68,36851,21620,21502
69,36851,21409,21306
70,36850,21478,21373
71,36838,21537,21426
72,36822,21589,21466
73,36809,21617,21490
74,36801,21635,21507
75,36798,21645,21526
76,36796,21649,21532
77,36794,21652,21541
78,36793,21656,21543
79,36793,21656,21544
80,36793,21656,21544
81,36792,21659,21544
82,36792,21659,21546
83,36792,21659,21546
84,36792,21654,21535
85,36792,21478,21368
86,36792,21547,21447
87,36785,21584,21501
88,36772,21613,21525
89,36771,21632,21547
90,36766,21640,21552
91,36763,21646,21566
92,36760,21652,21570
93,36755,21656,21573
94,36754,21660,21577
95,36754,21661,21578
96,36753,21661,21581
97,36752,21645,21569
98,36752,21497,21409
99,36750,21551,21430
100,36741,20473,20298
101,36735,20726,20703
102,36714,20870,20863
103,36674,21252,21239
104,36648,21275,21229
105,36608,21332,21277
106,36578,21093,20995
107,36520,21343,21312
108,36458,21275,21267
109,36387,21234,21298
110,36312,21396,21494
111,36252,21595,21623
112,36213,21456,21446
113,36143,21624,21603
114,36091,21653,21710
115,36037,21692,21804
116,36023,21422,21518
117,35977,21673,21849
118,35937,21581,21762
119,35898,21768,21893
120,35873,21712,21918
121,35842,21794,22012
122,35831,21861,22066
123,35823,21890,22121
124,35816,21908,22162
125,35811,21933,22191
126,35810,21933,22203
127,35810,21932,22214
128,35809,21936,22219
129,35808,21927,22212
130,35808,21930,22215
131,35807,21933,22217
132,35807,21930,22236
133,35806,21936,22237
134,35806,21924,22234
135,35806,21933,22232
136,35805,21930,22239
137,35806,21927,22243
138,35806,21918,22247
139,35806,21926,22244
140,35805,21913,22238
141,35804,21917,22239
142,35804,21917,22242
143,35804,21911,22245
144,35803,21912,22241
145,35802,21897,22228
146,35801,21877,22217
147,35803,21891,22227
148,35800,21902,22235
149,35798,21907,22247
150,35797,21916,22253
151,35796,21922,22255
152,35796,21922,22259
153,35796,21917,22263
154,35794,21921,22262
155,35794,21929,22260
156,35794,21928,22260
157,35795,21924,22261
158,35795,21925,22256
159,35793,21929,22258
160,35793,21927,22257
161,35793,21930,22256
162,35793,21934,22257
163,35793,21934,22257
164,35794,21926,22254
165,35794,21924,22250
166,35794,21925,22251
167,35793,21923,22247
168,35793,21910,22234
169,35793,21911,22232
170,35790,21925,22243
171,35791,21928,22246
172,35790,21929,22242
173,35789,21934,22245
174,35786,21935,22248
175,35786,21933,22250
176,35785,21935,22256
177,35782,21938,22265
178,35782,21939,22266
179,35782,21941,22268
180,35782,21939,22266
181,35781,21939,22264
182,35781,21938,22265
183,35782,21940,22261
184,35782,21939,22259
185,35782,21939,22259
186,35782,21931,22258
187,35782,21925,22246
188,35782,21916,22230
189,35784,21909,22214
190,35783,21887,22209
191,35782,21866,22191
192,35779,21873,22192
193,35772,21894,22199
194,35769,21914,22214
195,35763,21935,22233
196,35759,21945,22232
197,35756,21953,22237
198,35755,21958,22235
199,35751,21950,22200
200,35745,21911,22163
201,35740,21845,22094
202,35737,21775,21986
203,35730,21710,21947
204,35717,21719,21959
205,35696,21774,21989
206,35682,21781,22021
207,35672,21786,22009
208,35655,21793,21957
209,35642,21802,21965
210,35633,21776,21952
211,35616,21744,21851
212,35592,21649,21710
213,35556,21549,21577
214,35520,21479,21589
215,35456,21547,21803
216,35402,21653,21937
217,35363,21750,22010
218,35325,21793,22036
219,35276,21904,22031
220,35226,21983,22021
221,35192,22036,22082
222,35154,22064,22104
223,35115,22096,22160
224,35088,22118,22187
225,35044,22183,22255
226,35022,22194,22260
227,35001,22234,22300
228,34975,22262,22290
229,34946,22274,22339
230,34936,22249,22354
231,34917,22250,22369
232,34896,22263,22393
233,34881,22265,22457
234,34863,22287,22506
235,34855,22308,22559
236,34845,22317,22541
237,34835,22342,22560
238,34830,22370,22569
239,34824,22408,22581
240,34819,22422,22603
241,34817,22435,22632
242,34810,22436,22642
243,34808,22457,22646
244,34804,22468,22664
245,34803,22449,22669
246,34803,22440,22677
247,34803,22449,22677
248,34803,22432,22679
249,34803,22435,22691
250,34799,22421,22696
251,34799,22431,22700
252,34799,22432,22685
253,34795,22434,22686
254,34794,22436,22683
255,34790,22436,22673
256,34790,22427,22673
257,34788,22429,22676
258,34788,22419,22662
259,34786,22409,22677
260,34783,22402,22680
261,34781,22391,22679
262,34779,22403,22695
263,34779,22409,22689
264,34775,22422,22701
265,34774,22435,22711
266,34773,22446,22712
267,34772,22442,22719
268,34772,22442,22726
269,34771,22447,22729
270,34770,22449,22724
271,34770,22454,22732
272,34770,22460,22733
273,34769,22458,22732
274,34769,22457,22727
275,34769,22456,22728
276,34768,22448,22729
277,34768,22439,22730
278,34769,22430,22734
279,34767,22416,22736
280,34767,22409,22730
281,34766,22397,22728
282,34759,22401,22728
283,34760,22392,22719
284,34759,22400,22716
285,34756,22410,22720
286,34751,22424,22720
287,34747,22431,22728
288,34740,22443,22735
289,34734,22452,22741
290,34733,22466,22743
291,34730,22472,22746
292,34729,22473,22742
293,34723,22476,22744
294,34723,22478,22746
295,34721,22475,22743
296,34718,22472,22747
297,34717,22473,22752
298,34717,22467,22760
299,34717,22465,22753
300,34718,22462,22756
301,34716,22459,22754
302,34716,22451,22756
303,34716,22442,22752
304,34713,22410,22739
305,34710,22400,22734
306,34705,22388,22727
307,34699,22371,22708
308,34696,22366,22697
309,34690,22340,22685
310,34685,22343,22698
311,34686,22333,22680
312,34683,22279,22680
313,34678,22231,22635
314,34665,22216,22577
315,34658,22202,22514
316,34646,22202,22482
317,34634,22190,22478
318,34612,22158,22458
319,34588,22153,22497
320,34563,22169,22499
321,34547,22147,22475
322,34532,22171,22502
323,34524,22197,22502
324,34496,22163,22469
325,34474,22148,22460
326,34437,22191,22544
327,34414,22188,22585
328,34392,22214,22591
329,34352,22235,22683
330,34315,22253,22712
331,34287,22258,22734
332,34256,22296,22763
333,34214,22356,22782
334,34183,22373,22810
335,34158,22439,22819
336,34138,22452,22825
337,34109,22437,22830
338,34088,22449,22925
339,34077,22480,22942
340,34064,22519,22958
341,34048,22518,22982
342,34031,22497,23033
343,34011,22547,23037
344,33996,22559,23045
345,33988,22562,23077
346,33976,22558,23089
347,33972,22600,23086
348,33958,22623,23120
349,33949,22640,23133
350,33940,22671,23128
351,33936,22718,23127
352,33931,22733,23138
353,33927,22744,23138
354,33925,22734,23177
355,33919,22735,23199
356,33916,22752,23205
357,33912,22762,23219
358,33909,22769,23216
359,33907,22771,23233
360,33905,22759,23235
361,33903,22773,23234
362,33901,22768,23229
363,33900,22770,23225
364,33902,22770,23221
365,33900,22770,23214
366,33898,22767,23212
367,33893,22772,23210
368,33892,22771,23191
369,33891,22777,23191
370,33890,22790,23184
371,33889,22774,23171
372,33888,22802,23154
373,33887,22809,23144
374,33883,22813,23139
375,33878,22835,23129
376,33874,22843,23120
377,33869,22862,23122
378,33867,22872,23119
379,33865,22873,23117
380,33863,22868,23139
381,33860,22866,23145
382,33858,22878,23136
383,33857,22890,23136
384,33853,22884,23147
385,33848,22901,23140
386,33843,22901,23144
387,33843,22901,23137
388,33840,22893,23139
389,33833,22900,23143
390,33831,22895,23146
391,33828,22905,23142
392,33828,22897,23131
393,33828,22884,23131
394,33827,22885,23123
395,33825,22895,23118
396,33818,22919,23127
397,33814,22930,23123
398,33813,22919,23112
399,33813,22928,23108
400,33810,22936,23118
401,33806,22946,23128
402,33804,22943,23127
403,33798,22937,23132
404,33797,22958,23143
405,33795,22950,23138
406,33794,22948,23131
407,33790,22933,23133
408,33784,22939,23132
409,33782,22946,23132
410,33781,22945,23130
411,33779,22940,23128
412,33776,22943,23123
413,33775,22947,23127
414,33771,22915,23137
415,33767,22898,23104
416,33762,22887,23089
417,33760,22914,23071
418,33755,22919,23046
419,33750,22896,23049
420,33742,22862,23027
421,33740,22841,22977
422,33729,22838,22962
423,33718,22835,22940
424,33714,22827,22933
425,33704,22827,22872
426,33691,22826,22846
427,33682,22777,22862
428,33666,22770,22860
429,33650,22755,22842
430,33642,22715,22864
431,33618,22723,22849
432,33598,22734,22839
433,33584,22722,22884
434,33559,22737,22958
435,33536,22716,22963
436,33518,22754,22988
437,33482,22848,22956
438,33449,22914,22918
439,33432,22941,22912
440,33418,22977,22910
441,33391,23003,22933
442,33374,22971,22929
443,33349,23028,22898
444,33318,23094,22900
445,33277,23156,22925
446,33252,23246,22896
447,33231,23284,22940
448,33221,23304,22911
449,33199,23301,22874
450,33177,23325,22908
451,33153,23362,22942
452,33139,23343,22985
453,33132,23372,23002
454,33122,23398,23005
455,33110,23423,23033
456,33099,23460,23020
457,33086,23499,23014
458,33076,23524,23042
459,33070,23522,23033
460,33067,23568,23038
461,33063,23583,23062
462,33056,23603,23065
463,33046,23639,23068
464,33042,23648,23080
465,33038,23681,23072
466,33033,23687,23085
467,33032,23680,23102
468,33032,23675,23101
469,33028,23664,23119
470,33027,23679,23131
471,33025,23679,23134
472,33023,23673,23142
473,33022,23659,23138
474,33018,23660,23142
475,33016,23669,23158
476,33018,23651,23156
477,33017,23657,23151
478,33017,23643,23138
479,33015,23671,23125
480,33015,23685,23128
481,33014,23684,23121
482,33012,23692,23125
483,33009,23683,23125
484,33008,23696,23105
485,33007,23704,23125
486,33006,23708,23111
487,33003,23704,23126
488,32995,23725,23117
489,32995,23737,23116
490,32994,23735,23119
491,32993,23730,23119
492,32990,23719,23110
493,32989,23725,23133
494,32985,23728,23144
495,32981,23733,23134
496,32981,23744,23121
497,32979,23735,23121
498,32980,23740,23117
499,32979,23737,23135
500,32978,23743,23123
501,32976,23745,23120
502,32971,23737,23114
503,32970,23736,23126
504,32966,23743,23133
505,32966,23749,23128
506,32962,23743,23126
507,32955,23747,23138
508,32953,23754,23132
509,32950,23760,23144
510,32951,23761,23128
511,32944,23778,23133
512,32939,23764,23138
513,32935,23772,23139
514,32936,23763,23125
515,32933,23760,23123
516,32928,23753,23114
517,32921,23756,23130
518,32915,23753,23125
519,32913,23770,23131
520,32910,23770,23123
521,32906,23748,23107
522,32901,23742,23103
523,32894,23738,23108
524,32889,23754,23099
525,32884,23736,23076
526,32879,23738,23074
527,32870,23721,23081
528,32867,23722,23085
529,32860,23694,23075
530,32857,23691,23044
531,32849,23694,23018
532,32846,23650,23009
533,32834,23643,23004
534,32823,23624,22982
535,32805,23619,22977
536,32792,23604,22967
537,32781,23625,22958
538,32761,23627,22967
539,32751,23607,22955
