iteration,1,2,3,4
1,19358,19624,14148,13722
2,18204,19092,21456,19488
3,17742,18867,22799,20273
4,17692,18839,23024,20370
5,17684,18834,23045,20385
6,17681,18831,23055,20391
7,17680,18830,23067,20397
8,17678,18829,23071,20399
9,17678,18828,23073,20399
10,17677,18826,23080,20403
11,17675,18825,23089,20404
12,17675,18825,23091,20404
13,17675,18825,23091,20405
14,17675,18825,23091,20405
15,17675,18825,23092,20405
16,17675,18825,23092,20405
17,17675,18825,23093,20406
18,17675,18825,23093,20406
19,17675,18825,23093,20406
20,17675,18825,23093,20406
21,17675,18825,23093,20406
22,17675,18825,23093,20406
23,17675,18825,23093,20406
24,17675,18825,23093,20406
25,17675,18825,23093,20406
26,17675,18825,23093,20406
27,17675,18825,23093,20406
28,17675,18825,23093,20406
29,17675,18825,23093,20406
30,17675,18825,23093,20406
31,17675,18825,23093,20406
32,17675,18825,23093,20406
33,17675,18825,23093,20406
34,17675,18825,23093,20406
35,17675,18825,23093,20407
36,17675,18825,23093,20407
37,17675,18825,23093,20407
38,17675,18825,23093,20407
39,17675,18825,23093,20407
40,17675,18825,23093,20407
41,17675,18825,23093,20407
42,17675,18825,23093,20407
43,17675,18825,23093,20407
44,17675,18825,23093,20407
45,17675,18825,23093,20407
46,17675,18825,23093,20407
47,17675,18825,23093,20407
48,17675,18825,23093,20407
49,17675,18825,23093,20407
50,17675,18825,23093,20407
51,17675,18825,23093,20407
52,17675,18825,23093,20407
53,17675,18825,23093,20407
54,17675,18825,23093,20407
55,17675,18825,23093,20407
56,17675,18825,23093,20407
57,17675,18825,23093,20407
58,17675,18825,23093,20407
59,17675,18825,23093,20407
60,17675,18825,23093,20407
61,17675,18825,23093,20407
62,17675,18825,23093,20407
63,17675,18825,23093,20407
64,17675,18825,23093,20407
65,17675,18825,23093,20407
66,17675,18825,23093,20405
67,17675,18825,23093,20393
68,17675,18825,23089,20352
69,17675,18825,22897,20060
70,17674,18824,23011,20085
71,17666,18821,23119,20117
72,17654,18820,23188,20144
73,17646,18817,23245,20163
